robo,data,ativo,lado,resultado,resultado_pct,hora,estrategia,lote,resultado_bruto,custos
alaska-&-square,2018-05-14,WIN,VENDA,-920.00,0,10:07:40,Reversao,16,-920.00,0
alaska-&-square,2018-05-14,WIN,VENDA,80.00,0,11:04:40,Reversao,4,80.00,0
alaska-&-square,2018-05-15,WIN,VENDA,264.00,0,13:22:20,Reversao,16,264.00,0
alaska-&-square,2018-05-16,WIN,VENDA,264.00,0,11:14:40,Reversao,16,264.00,0
alaska-&-square,2018-05-16,WIN,VENDA,80.00,0,12:12:40,Reversao,4,80.00,0
alaska-&-square,2018-05-16,WIN,VENDA,80.00,0,14:12:40,Reversao,4,80.00,0
alaska-&-square,2018-05-18,WIN,VENDA,-920.00,0,11:04:40,Reversao,16,-920.00,0
alaska-&-square,2018-05-18,WIN,VENDA,264.00,0,12:05:40,Reversao,16,264.00,0
alaska-&-square,2018-05-21,WIN,VENDA,80.00,0,10:01:40,Reversao,4,80.00,0
alaska-&-square,2018-05-21,WIN,VENDA,264.00,0,12:07:40,Reversao,16,264.00,0
alaska-&-square,2018-05-22,WIN,VENDA,80.00,0,10:15:40,Reversao,4,80.00,0
alaska-&-square,2018-05-22,WIN,VENDA,80.00,0,13:22:40,Reversao,4,80.00,0
alaska-&-square,2018-05-23,WIN,VENDA,80.00,0,11:24:40,Reversao,4,80.00,0
alaska-&-square,2018-05-23,WIN,VENDA,80.00,0,15:35:40,Reversao,4,80.00,0
alaska-&-square,2018-05-24,WIN,VENDA,80.00,0,11:25:40,Reversao,4,80.00,0
alaska-&-square,2018-05-24,WIN,VENDA,264.00,0,13:05:40,Reversao,16,264.00,0
alaska-&-square,2018-05-24,WIN,VENDA,-920.00,0,15:35:20,Reversao,16,-920.00,0
alaska-&-square,2018-05-25,WIN,VENDA,264.00,0,10:02:40,Reversao,16,264.00,0
alaska-&-square,2018-05-25,WIN,VENDA,80.00,0,12:05:40,Reversao,4,80.00,0
alaska-&-square,2018-05-28,WIN,VENDA,264.00,0,14:32:40,Reversao,16,264.00,0
alaska-&-square,2018-05-28,WIN,VENDA,80.00,0,15:16:40,Reversao,4,80.00,0
alaska-&-square,2018-05-29,WIN,VENDA,-920.00,0,10:01:40,Reversao,16,-920.00,0
alaska-&-square,2018-05-29,WIN,VENDA,264.00,0,11:05:40,Reversao,16,264.00,0
alaska-&-square,2018-05-29,WIN,VENDA,80.00,0,14:05:20,Reversao,4,80.00,0
alaska-&-square,2018-05-30,WIN,VENDA,80.00,0,11:03:40,Reversao,4,80.00,0
alaska-&-square,2018-05-30,WIN,VENDA,80.00,0,13:05:40,Reversao,4,80.00,0
alaska-&-square,2018-05-30,WIN,VENDA,80.00,0,15:30:40,Reversao,4,80.00,0
alaska-&-square,2018-05-30,WIN,VENDA,80.00,0,16:06:40,Reversao,4,80.00,0
alaska-&-square,2018-06-01,WIN,VENDA,264.00,0,11:15:40,Reversao,16,264.00,0
alaska-&-square,2018-06-01,WIN,VENDA,264.00,0,15:32:40,Reversao,16,264.00,0
alaska-&-square,2018-06-04,WIN,VENDA,80.00,0,11:07:40,Reversao,4,80.00,0
alaska-&-square,2018-06-04,WIN,VENDA,80.00,0,12:12:40,Reversao,4,80.00,0
alaska-&-square,2018-06-04,WIN,VENDA,-376.00,0,16:31:40,Reversao,16,-376.00,0
alaska-&-square,2018-06-05,WIN,VENDA,264.00,0,11:06:40,Reversao,16,264.00,0
alaska-&-square,2018-06-06,WIN,VENDA,80.00,0,11:03:20,Reversao,4,80.00,0
alaska-&-square,2018-06-06,WIN,VENDA,80.00,0,15:19:40,Reversao,4,80.00,0
alaska-&-square,2018-06-08,WIN,VENDA,80.00,0,13:01:40,Reversao,4,80.00,0
alaska-&-square,2018-06-08,WIN,VENDA,80.00,0,14:06:40,Reversao,4,80.00,0
alaska-&-square,2018-06-08,WIN,VENDA,80.00,0,16:06:40,Reversao,4,80.00,0
alaska-&-square,2018-06-11,WIN,VENDA,80.00,0,10:01:40,Reversao,4,80.00,0
alaska-&-square,2018-06-11,WIN,VENDA,80.00,0,11:03:40,Reversao,4,80.00,0
alaska-&-square,2018-06-11,WIN,VENDA,-360.00,0,16:43:40,Reversao,16,-360.00,0
alaska-&-square,2018-06-12,WIN,VENDA,80.00,0,12:39:40,Reversao,4,80.00,0
alaska-&-square,2018-06-13,WIN,VENDA,264.00,0,13:02:40,Reversao,16,264.00,0
alaska-&-square,2018-06-13,WIN,VENDA,80.00,0,15:02:40,Reversao,4,80.00,0
alaska-&-square,2018-06-15,WIN,VENDA,264.00,0,16:02:40,Reversao,16,264.00,0
alaska-&-square,2018-06-18,WIN,VENDA,264.00,0,11:08:20,Reversao,16,264.00,0
alaska-&-square,2018-06-18,WIN,VENDA,264.00,0,12:27:20,Reversao,16,264.00,0
alaska-&-square,2018-06-18,WIN,VENDA,80.00,0,16:32:40,Reversao,4,80.00,0
alaska-&-square,2018-06-19,WIN,VENDA,264.00,0,13:10:40,Reversao,16,264.00,0
alaska-&-square,2018-06-19,WIN,VENDA,264.00,0,14:06:40,Reversao,16,264.00,0
alaska-&-square,2018-06-19,WIN,VENDA,264.00,0,16:06:40,Reversao,16,264.00,0
alaska-&-square,2018-06-20,WIN,VENDA,264.00,0,10:04:40,Reversao,16,264.00,0
